x,y,sd
14964.0,7965.8,9.9
5209.6,19477.2,22.1
15699.2,19047.8,19.7
23224.2,16162.8,29.6
15235.2,12028.9,20.1
3521.5,15807.0,16.4
2353.3,4967.2,24.7
15725.4,11068.0,25.5
17390.6,4885.7,18.2
836.4,4064.5,29.1
2731.6,15869.2,22.4
4716.8,5348.8,42.1
15641.4,11112.1,31.4
7879.7,10917.0,11.7
1132.5,6325.1,37.6
1312.5,4577.7,24.4
4017.0,22177.9,24.4
7556.0,25096.2,26.6
20526.5,14377.5,24.6
5731.2,23107.7,19.6
3065.0,2242.2,30.6
2706.8,9087.0,31.6
9136.0,14311.6,29.2
1256.1,2198.7,36.5
10472.1,21267.1,18.8
2381.1,1384.1,16.6
14575.3,9758.7,21.1
23171.9,16069.9,25.0
8505.9,13962.9,26.5
7590.0,25138.5,18.7
5441.3,11052.2,27.4
1740.4,3027.6,40.2
2280.4,3955.8,32.0
3748.9,1271.1,22.3
2222.5,1818.1,33.0
14083.3,7442.0,27.0
1109.3,10429.2,27.6
8730.4,13390.1,20.4
12695.9,13832.3,22.3
3856.9,6028.0,33.7
9158.1,14285.9,23.6
3717.0,1897.4,39.7
3720.1,17584.3,25.9
2062.6,3826.3,20.0
3802.1,1328.4,33.8
14139.2,7444.9,25.5
2256.0,4019.1,26.9
11646.9,13036.1,24.4
7255.4,10731.3,25.9
7549.2,25119.0,19.1
3451.2,7755.0,22.5
2356.9,2734.3,40.3
1544.9,8500.7,32.7
11174.1,19034.3,33.8
3829.0,1398.0,33.2
5117.0,18767.0,29.9
23164.9,16103.0,33.5
6080.0,963.6,26.7
11613.4,13037.1,14.5
3686.0,1948.6,28.5
2472.0,18137.8,26.1
3078.2,4498.1,27.0
7659.2,16761.6,30.4
18085.2,22690.3,24.8
3029.5,15834.4,23.3
5132.6,10834.1,28.9
6989.1,17948.4,29.8
10950.0,20599.9,18.1
2144.1,4408.1,25.9
1446.0,5646.1,21.1
11711.5,13106.6,30.4
2351.7,2690.7,23.9
2385.1,5309.2,45.7
9779.2,14995.3,9.6
15202.9,7828.1,23.4
14124.4,7460.0,24.3
13740.3,22511.5,26.9
3151.7,3142.1,32.7
15161.2,7843.2,36.0
3402.2,3456.7,26.9
4378.1,5154.6,22.7
7359.6,12728.3,26.9
2279.4,2705.6,19.4
8251.3,17063.3,27.5
3725.7,1909.1,21.3
1754.1,965.0,25.5
10357.2,19937.2,16.3
8506.0,11247.3,28.8
790.4,5333.8,34.3
3510.4,7131.9,25.0
12205.4,7714.5,22.0
4546.2,544.2,26.9
18848.3,12266.4,24.9
5235.9,19555.0,26.6
8617.4,11113.6,28.9
13323.6,10667.1,26.4
7476.8,18274.0,23.4
3992.0,16537.9,22.4
3708.7,1954.4,19.8
9787.7,14850.2,29.1
2047.4,3905.5,22.7
4347.2,16548.4,17.4
9829.0,14795.4,10.5
535.8,9524.1,28.8
16019.1,12732.8,22.0
9348.7,18560.6,32.4
3357.2,5879.9,26.2
6305.9,24613.6,25.3
5296.2,1603.2,20.3
2092.4,4464.5,29.4
2218.9,2820.1,41.8
15141.2,4423.9,17.3
9755.1,14798.0,27.0
7804.9,12602.7,22.7
3390.0,7838.0,20.3
8236.3,20827.8,25.2
2330.6,4939.0,26.2
7566.3,25125.1,16.7
6644.4,16539.7,25.1
3178.9,3080.2,29.3
7755.6,24258.4,24.8
11758.7,9559.0,24.7
8301.5,13216.9,11.7
7026.3,17966.3,24.6
7549.4,25134.3,15.5
14962.5,8256.6,24.0
6679.8,16537.2,25.4
3070.3,3139.2,42.9
1240.7,2256.0,36.8
3911.7,6050.8,27.9
2704.0,4707.5,21.8
